City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
60,Yokadouma,CM,2021-04-11 15:56:35,3.5167,15.05,82.29,59,86,8.59,light rain
61,Farah,AF,2021-04-11 15:56:35,32.5,62.5,81.1,13,31,18.59,scattered clouds
62,Pangkalanbuun,ID,2021-04-11 15:51:57,-2.6833,111.6167,75.36,96,97,0.98,overcast clouds
63,Cidreira,BR,2021-04-11 15:54:56,-30.1811,-50.2056,87.75,47,4,6.62,clear sky
64,Adrar,MR,2021-04-11 15:56:36,20.5022,-10.0711,95.13,11,18,7.61,few clouds
65,Meulaboh,ID,2021-04-11 15:56:36,4.1363,96.1285,78.21,84,94,2.93,overcast clouds
66,Ponta Do Sol,PT,2021-04-11 15:56:37,32.6667,-17.1,64.0,68,96,3.0,overcast clouds
67,Saint-Augustin,CA,2021-04-11 15:51:49,51.226,-58.6502,43.66,92,100,24.7,overcast clouds
68,Soyo,AO,2021-04-11 15:54:14,-6.1349,12.3689,87.8,74,20,8.05,few clouds
69,Tuatapere,NZ,2021-04-11 15:56:37,-46.1333,167.6833,48.0,96,10,4.0,clear sky
70,Avera,US,2021-04-11 15:56:38,33.194,-82.5271,69.01,100,90,6.91,overcast clouds
71,Deputatskiy,RU,2021-04-11 15:56:38,69.3,139.9,-22.07,99,79,2.77,broken clouds
72,Salalah,OM,2021-04-11 15:53:32,17.0151,54.0924,84.2,65,20,6.91,few clouds
73,Bambous Virieux,MU,2021-04-11 15:56:39,-20.3428,57.7575,80.6,78,40,6.91,light rain
74,Linxia,CN,2021-04-11 15:56:39,35.6003,103.2064,47.79,71,44,6.6,scattered clouds
75,Port Alfred,ZA,2021-04-11 15:54:41,-33.5906,26.891,69.31,90,97,7.2,overcast clouds
76,Fairbanks,US,2021-04-11 15:56:40,64.8378,-147.7164,3.99,60,1,9.22,clear sky
77,Westport,US,2021-04-11 15:56:40,41.1415,-73.3579,59.0,100,90,13.8,mist
78,Mar Del Plata,AR,2021-04-11 15:55:01,-38.0023,-57.5575,64.99,72,75,14.97,broken clouds
79,Hermanus,ZA,2021-04-11 15:56:41,-34.4187,19.2345,71.01,78,100,1.01,overcast clouds
80,Qaanaaq,GL,2021-04-11 15:56:41,77.484,-69.3632,21.27,92,100,11.1,light snow
81,Ferme-Neuve,CA,2021-04-11 15:56:41,46.7001,-75.4493,68.0,42,100,6.91,overcast clouds
82,Boyolangu,ID,2021-04-11 15:56:42,-8.1181,111.8935,75.52,90,55,1.7,broken clouds
83,Atuona,PF,2021-04-11 15:56:42,-9.8,-139.0333,80.19,78,40,18.05,light rain
84,Provideniya,RU,2021-04-11 15:56:43,64.3833,-173.3,8.08,88,100,24.29,light snow
85,Serebryansk,KZ,2021-04-11 15:56:43,49.6925,83.2892,41.0,81,2,4.47,clear sky
86,Klaksvik,FO,2021-04-11 15:56:43,62.2266,-6.589,35.6,80,40,3.44,scattered clouds
87,Udachnyy,RU,2021-04-11 15:56:44,66.4167,112.4,-8.05,83,28,4.09,scattered clouds
88,Lashio,MM,2021-04-11 15:52:31,22.9333,97.75,71.44,48,1,1.86,clear sky
89,Khandyga,RU,2021-04-11 15:54:03,62.6667,135.6,14.5,96,100,3.09,light snow
90,Katangli,RU,2021-04-11 15:56:44,51.7102,143.2326,32.41,92,87,7.63,light snow
91,Kavieng,PG,2021-04-11 15:56:45,-2.5744,150.7967,79.99,78,100,3.13,moderate rain
92,Santiago Del Estero,AR,2021-04-11 15:56:45,-27.7951,-64.2615,69.94,35,70,14.05,broken clouds
