City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Qeshm,IR,2021-04-08 22:59:21,26.9581,56.2719,73.4,94,0,4.61
68,Hasaki,JP,2021-04-08 22:58:23,35.7333,140.8333,51.01,62,75,5.75
69,Qianan,CN,2021-04-08 22:59:22,44.9932,124.0581,40.66,25,89,6.93
70,College,US,2021-04-08 22:58:41,64.8569,-147.8028,12.2,57,75,16.11
71,Nemuro,JP,2021-04-08 22:59:22,43.3236,145.575,33.06,52,1,9.13
72,Bahia Blanca,AR,2021-04-08 22:56:18,-38.7196,-62.2724,68.27,80,99,7.4
73,Ust-Nera,RU,2021-04-08 22:59:23,64.5667,143.2,9.05,93,88,2.01
74,Hami,CN,2021-04-08 22:58:32,42.8,93.45,57.99,33,100,7.96
75,Bambous Virieux,MU,2021-04-08 22:57:25,-20.3428,57.7575,79.0,78,40,6.91
76,Port Alfred,ZA,2021-04-08 22:57:15,-33.5906,26.891,65.5,85,44,4.23
77,Saint George,US,2021-04-08 22:57:32,37.1041,-113.5841,82.99,6,1,16.11
78,Ushuaia,AR,2021-04-08 22:53:21,-54.8,-68.3,42.8,65,20,24.16
79,Lagoa,PT,2021-04-08 22:59:24,39.05,-27.9833,58.95,88,9,16.42
80,Maltahohe,NA,2021-04-08 22:59:24,-24.8333,16.9833,69.31,37,0,10.11
81,Iqaluit,CA,2021-04-08 22:57:20,63.7506,-68.5145,30.2,69,90,5.75
82,Plettenberg Bay,ZA,2021-04-08 22:58:35,-34.0527,23.3716,61.32,85,7,3.87
83,Mahebourg,MU,2021-04-08 22:57:51,-20.4081,57.7,77.0,78,40,6.91
84,Berdigestyakh,RU,2021-04-08 22:59:25,62.0989,126.6992,32.86,99,100,3.56
85,Neiafu,TO,2021-04-08 22:59:26,-18.65,-173.9833,82.4,65,40,4.61
86,Sawakin,SD,2021-04-08 22:59:26,19.1059,37.3321,78.26,80,44,12.39
87,Dikson,RU,2021-04-08 22:57:40,73.5069,80.5464,0.27,80,42,11.48
88,Saint-Augustin,CA,2021-04-08 22:57:49,51.226,-58.6502,35.92,99,97,2.15
89,Arona,ES,2021-04-08 22:59:27,28.0996,-16.681,69.01,77,20,4.61
90,Bathsheba,BB,2021-04-08 22:58:40,13.2167,-59.5167,80.6,61,20,11.5
91,Bluff,NZ,2021-04-08 22:57:25,-46.6,168.3333,61.0,73,4,1.01
92,Ledyard,US,2021-04-08 22:54:56,41.4398,-72.0142,53.01,81,1,9.22
93,Tuktoyaktuk,CA,2021-04-08 22:57:48,69.4541,-133.0374,-9.4,70,20,4.61
94,Suhbaatar,MN,2021-04-08 22:59:27,50.2314,106.2078,36.3,86,80,6.89
95,Bengkulu,ID,2021-04-08 22:57:44,-3.8004,102.2655,74.79,87,86,5.32
96,Narsaq,GL,2021-04-08 22:59:28,60.9167,-46.05,37.4,65,40,5.75
97,Amapa,BR,2021-04-08 22:59:28,1.0,-52.0,73.02,98,100,2.35
98,Key Largo,US,2021-04-08 22:57:45,25.0865,-80.4473,73.99,56,40,5.99
99,Mahibadhoo,MV,2021-04-08 22:59:29,3.7833,72.9667,81.41,76,17,8.41
100,Port Lincoln,AU,2021-04-08 22:59:29,-34.7333,135.8667,62.28,60,36,12.88
101,Albany,US,2021-04-08 22:52:36,42.6001,-73.9662,73.4,30,1,6.91
102,Galesong,ID,2021-04-08 22:58:08,-5.3166,119.3661,73.4,100,20,3.44
103,Colares,PT,2021-04-08 22:59:30,38.7992,-9.4469,61.0,78,100,8.72
104,Torbay,CA,2021-04-08 22:58:43,47.6666,-52.7314,39.99,100,90,16.11
105,Viedma,AR,2021-04-08 22:58:34,-40.8135,-62.9967,63.39,65,2,6.91
106,Port Blair,IN,2021-04-08 22:59:31,11.6667,92.75,80.11,76,5,2.26
107,Honningsvag,NO,2021-04-08 22:59:31,70.9821,25.9704,32.95,66,100,10.54
108,Fortuna,US,2021-04-08 22:59:18,40.5982,-124.1573,59.0,67,20,13.8
109,Berlevag,NO,2021-04-08 22:58:30,70.8578,29.0864,32.31,76,100,11.72
110,Katsuura,JP,2021-04-08 22:59:29,35.1333,140.3,53.01,53,63,4.0
111,Kiruna,SE,2021-04-08 22:59:32,67.8557,20.2251,10.4,79,65,8.05
112,Neftcala,AZ,2021-04-08 22:59:33,39.3742,49.2472,56.66,82,100,9.19
113,Whitehorse,CA,2021-04-08 22:59:33,60.7161,-135.0538,27.0,54,90,10.36
114,Thanh Hoa,VN,2021-04-08 22:59:33,19.8,105.7667,71.87,88,51,8.37
115,Hilo,US,2021-04-08 22:57:36,19.7297,-155.09,78.8,61,75,13.8
116,Sisimiut,GL,2021-04-08 22:59:34,66.9395,-53.6735,32.99,95,100,16.24
117,Tiksi,RU,2021-04-08 22:58:59,71.6872,128.8694,-11.34,100,100,7.16
118,Illapel,CL,2021-04-08 22:59:34,-31.6308,-71.1653,65.5,54,0,4.52
119,Tiznit,MA,2021-04-08 22:57:41,29.5833,-9.5,56.88,62,62,3.02
120,Fuyang,CN,2021-04-08 22:59:35,32.9,115.8167,49.95,84,1,5.48
121,Kilindoni,TZ,2021-04-08 22:59:35,-7.9139,39.6668,80.98,75,97,13.06
122,Maceio,BR,2021-04-08 22:58:27,-9.6658,-35.7353,80.6,78,0,8.05
123,Guerrero Negro,MX,2021-04-08 22:58:50,27.9769,-114.0611,72.73,46,0,22.84
124,Shingu,JP,2021-04-08 22:59:36,33.7333,135.9833,55.4,58,40,11.5
125,Namibe,AO,2021-04-08 22:58:49,-15.1961,12.1522,80.1,65,94,10.49
126,Nata,PA,2021-04-08 22:59:36,8.3333,-80.5167,80.6,89,90,6.91
